.word 0,Offset
Baldr,aAncestryData.BaldrAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
Naga,aAncestryData.NagaAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
Dainn,aAncestryData.DainnAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
Njorun,aAncestryData.NjorunAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
Od,aAncestryData.OdAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
Ullr,aAncestryData.UllrAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
Nal,aAncestryData.NalAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
Fjalar,aAncestryData.FjalarAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
Thrud,aAncestryData.ThrudAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
Forseti,aAncestryData.ForsetiAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
Bragi,aAncestryData.BragiAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
Hothr,aAncestryData.HothrAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
Loptous,aAncestryData.LoptousAncestryAncestryDataEntry - aAncestryGrowthBoostsOffsets
