.word 0,Offset
MadinoName,aCastleNames.Madino - aCastleNameOffsets
SylvaleName,aCastleNames.Sylvale - aCastleNameOffsets
InfiniName,aCastleNames.Infini - aCastleNameOffsets
AgustiName,aCastleNames.Agusti - aCastleNameOffsets
HochrheinName,aCastleNames.Hochrhein - aCastleNameOffsets
MakariyName,aCastleNames.Makariy - aCastleNameOffsets
NordionName,aCastleNames.Nordion - aCastleNameOffsets
VelthomerName,aCastleNames.Velthomer - aCastleNameOffsets
FriegeName,aCastleNames.Friege - aCastleNameOffsets
BelhallaName,aCastleNames.Belhalla - aCastleNameOffsets
DozelName,aCastleNames.Dozel - aCastleNameOffsets
EddaName,aCastleNames.Edda - aCastleNameOffsets
ChalphyName,aCastleNames.Chalphy - aCastleNameOffsets
YngviName,aCastleNames.Yngvi - aCastleNameOffsets
LeonsterName,aCastleNames.Leonster - aCastleNameOffsets
ConnachtName,aCastleNames.Connacht - aCastleNameOffsets
MunsterName,aCastleNames.Munster - aCastleNameOffsets
MergenName,aCastleNames.Mergen - aCastleNameOffsets
UlsterName,aCastleNames.Ulster - aCastleNameOffsets
OrgahilName,aCastleNames.Orgahil - aCastleNameOffsets
TofaName,aCastleNames.Tofa - aCastleNameOffsets
SeirenName,aCastleNames.Seiren - aCastleNameOffsets
ZaxonName,aCastleNames.Zaxon - aCastleNameOffsets
SilesseName,aCastleNames.Silesse - aCastleNameOffsets
LubeckName,aCastleNames.Lubeck - aCastleNameOffsets
TirnanogName,aCastleNames.Tirnanog - aCastleNameOffsets
GaneshireName,aCastleNames.Ganeshire - aCastleNameOffsets
SofalaName,aCastleNames.Sofala - aCastleNameOffsets
IsaachName,aCastleNames.Isaach - aCastleNameOffsets
RibautName,aCastleNames.Ribaut - aCastleNameOffsets
FionnualaName,aCastleNames.Fionnuala - aCastleNameOffsets
AedName,aCastleNames.Aed - aCastleNameOffsets
DahnaName,aCastleNames.Dahna - aCastleNameOffsets
VerdaneName,aCastleNames.Verdane - aCastleNameOffsets
EvansName,aCastleNames.Evans - aCastleNameOffsets
GenoaName,aCastleNames.Genoa - aCastleNameOffsets
MarphaName,aCastleNames.Marpha - aCastleNameOffsets
MiletosName,aCastleNames.Miletos - aCastleNameOffsets
PlutarchName,aCastleNames.Plutarch - aCastleNameOffsets
KronosName,aCastleNames.Kronos - aCastleNameOffsets
RhodosName,aCastleNames.Rhodos - aCastleNameOffsets
MeathName,aCastleNames.Meath - aCastleNameOffsets
CappadociaName,aCastleNames.Cappadocia - aCastleNameOffsets
LutetiaName,aCastleNames.Lutetia - aCastleNameOffsets
ThraciaName,aCastleNames.Thracia - aCastleNameOffsets
GalatiaName,aCastleNames.Galatia - aCastleNameOffsets
