.word 0,Offset
Cavalier,aClassData.CavalierClassDataEntry - aClassDataOffsets
LanceKnight,aClassData.LanceKnightClassDataEntry - aClassDataOffsets
ArcherKnight,aClassData.ArcherKnightClassDataEntry - aClassDataOffsets
AxeKnight,aClassData.AxeKnightClassDataEntry - aClassDataOffsets
FreeKnight,aClassData.FreeKnightClassDataEntry - aClassDataOffsets
Troubadour,aClassData.TroubadourClassDataEntry - aClassDataOffsets
KnightLord,aClassData.KnightLordClassDataEntry - aClassDataOffsets
Banneret,aClassData.BanneretClassDataEntry - aClassDataOffsets
MasterKnight,aClassData.MasterKnightClassDataEntry - aClassDataOffsets
Paladin,aClassData.PaladinClassDataEntry - aClassDataOffsets
PaladinF,aClassData.PaladinFClassDataEntry - aClassDataOffsets
BowKnight,aClassData.BowKnightClassDataEntry - aClassDataOffsets
Ranger,aClassData.RangerClassDataEntry - aClassDataOffsets
MageKnight,aClassData.MageKnightClassDataEntry - aClassDataOffsets
GreatKnight,aClassData.GreatKnightClassDataEntry - aClassDataOffsets
PegasusRider,aClassData.PegasusRiderClassDataEntry - aClassDataOffsets
PegasusKnight,aClassData.PegasusKnightClassDataEntry - aClassDataOffsets
FalconKnight,aClassData.FalconKnightClassDataEntry - aClassDataOffsets
WyvernRider,aClassData.WyvernRiderClassDataEntry - aClassDataOffsets
WyvernKnight,aClassData.WyvernKnightClassDataEntry - aClassDataOffsets
WyvernLord,aClassData.WyvernLordClassDataEntry - aClassDataOffsets
BowFighter,aClassData.BowFighterClassDataEntry - aClassDataOffsets
SwordFighter,aClassData.SwordFighterClassDataEntry - aClassDataOffsets
Swordmaster,aClassData.SwordmasterClassDataEntry - aClassDataOffsets
Sniper,aClassData.SniperClassDataEntry - aClassDataOffsets
Forester,aClassData.ForesterClassDataEntry - aClassDataOffsets
General,aClassData.GeneralClassDataEntry - aClassDataOffsets
Emperor,aClassData.EmperorClassDataEntry - aClassDataOffsets
Baron,aClassData.BaronClassDataEntry - aClassDataOffsets
Soldier,aClassData.SoldierClassDataEntry - aClassDataOffsets
SpearSoldier,aClassData.SpearSoldierClassDataEntry - aClassDataOffsets
AxeSoldier,aClassData.AxeSoldierClassDataEntry - aClassDataOffsets
BowSoldier,aClassData.BowSoldierClassDataEntry - aClassDataOffsets
SwordSoldier,aClassData.SwordSoldierClassDataEntry - aClassDataOffsets
LanceArmor,aClassData.LanceArmorClassDataEntry - aClassDataOffsets
AxeArmor,aClassData.AxeArmorClassDataEntry - aClassDataOffsets
BowArmor,aClassData.BowArmorClassDataEntry - aClassDataOffsets
SwordArmor,aClassData.SwordArmorClassDataEntry - aClassDataOffsets
Barbarian,aClassData.BarbarianClassDataEntry - aClassDataOffsets
AxeFighter,aClassData.AxeFighterClassDataEntry - aClassDataOffsets
Brigand,aClassData.BrigandClassDataEntry - aClassDataOffsets
Warrior,aClassData.WarriorClassDataEntry - aClassDataOffsets
Hunter,aClassData.HunterClassDataEntry - aClassDataOffsets
Pirate,aClassData.PirateClassDataEntry - aClassDataOffsets
Lordling,aClassData.LordlingClassDataEntry - aClassDataOffsets
MageFighter,aClassData.MageFighterClassDataEntry - aClassDataOffsets
Prince,aClassData.PrinceClassDataEntry - aClassDataOffsets
Princess,aClassData.PrincessClassDataEntry - aClassDataOffsets
MageFighterF,aClassData.MageFighterFClassDataEntry - aClassDataOffsets
Queen,aClassData.QueenClassDataEntry - aClassDataOffsets
Dancer,aClassData.DancerClassDataEntry - aClassDataOffsets
Priest,aClassData.PriestClassDataEntry - aClassDataOffsets
Mage,aClassData.MageClassDataEntry - aClassDataOffsets
FireMage,aClassData.FireMageClassDataEntry - aClassDataOffsets
ThunderMage,aClassData.ThunderMageClassDataEntry - aClassDataOffsets
WindMage,aClassData.WindMageClassDataEntry - aClassDataOffsets
HighPriest,aClassData.HighPriestClassDataEntry - aClassDataOffsets
Bishop,aClassData.BishopClassDataEntry - aClassDataOffsets
Sage,aClassData.SageClassDataEntry - aClassDataOffsets
Bard,aClassData.BardClassDataEntry - aClassDataOffsets
Shaman,aClassData.ShamanClassDataEntry - aClassDataOffsets
DarkMage,aClassData.DarkMageClassDataEntry - aClassDataOffsets
DarkBishop,aClassData.DarkBishopClassDataEntry - aClassDataOffsets
Thief,aClassData.ThiefClassDataEntry - aClassDataOffsets
ThiefFighter,aClassData.ThiefFighterClassDataEntry - aClassDataOffsets
Civilian,aClassData.CivilianClassDataEntry - aClassDataOffsets
Child,aClassData.ChildClassDataEntry - aClassDataOffsets
Ballistician,aClassData.BallisticianClassDataEntry - aClassDataOffsets
IronBallistician,aClassData.IronBallisticianClassDataEntry - aClassDataOffsets
KillerBallistician,aClassData.KillerBallisticianClassDataEntry - aClassDataOffsets
GreatBallistician,aClassData.GreatBallisticianClassDataEntry - aClassDataOffsets
DarkPrince,aClassData.DarkPrinceClassDataEntry - aClassDataOffsets
