.word 0,Offset
Cavalier,aCavalierMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
LanceKnight,aLanceKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
ArcherKnight,aArcherKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
AxeKnight,aAxeKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
FreeKnight,aFreeKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Troubadour,aTroubadourMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
KnightLord,aKnightLordMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Banneret,aBanneretMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
MasterKnight,aMasterKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Paladin,aPaladinMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
PaladinF,aPaladinFMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
BowKnight,aBowKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Ranger,aRangerMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
MageKnight,aMageKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
GreatKnight,aGreatKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
PegasusRider,aPegasusRiderMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
PegasusKnight,aPegasusKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
FalconKnight,aFalconKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
WyvernRider,aWyvernRiderMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
WyvernKnight,aWyvernKnightMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
WyvernLord,aWyvernLordMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
BowFighter,aBowFighterMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
SwordFighter,aSwordFighterMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Swordmaster,aSwordmasterMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Sniper,aSniperMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Forester,aForesterMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
General,aGeneralMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Emperor,aEmperorMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Baron,aBaronMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Soldier,aSoldierMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
SpearSoldier,aSpearSoldierMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
AxeSoldier,aAxeSoldierMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
BowSoldier,aBowSoldierMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
SwordSoldier,aSwordSoldierMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
LanceArmor,aLanceArmorMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
AxeArmor,aAxeArmorMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
BowArmor,aBowArmorMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
SwordArmor,aSwordArmorMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Barbarian,aBarbarianMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
AxeFighter,aAxeFighterMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Brigand,aBrigandMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Warrior,aWarriorMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Hunter,aHunterMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Pirate,aPirateMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Lordling,aLordlingMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
MageFighter,aMageFighterMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Prince,aPrinceMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Princess,aPrincessMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
MageFighterF,aMageFighterFMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Queen,aQueenMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Dancer,aDancerMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Priest,aPriestMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Mage,aMageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
FireMage,aFireMageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
ThunderMage,aThunderMageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
WindMage,aWindMageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
HighPriest,aHighPriestMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Bishop,aBishopMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Sage,aSageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Bard,aBardMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Shaman,aShamanMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
DarkMage,aDarkMageMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
DarkBishop,aDarkBishopMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Thief,aThiefMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
ThiefFighter,aThiefFighterMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Civilian,aCivilianMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Child,aChildMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
Ballistician,aBallisticianMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
IronBallistician,aIronBallisticianMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
KillerBallistician,aKillerBallisticianMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
GreatBallistician,aGreatBallisticianMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
DarkPrince,aDarkPrinceMapSpriteAssignment - aClassMapSpriteAssignmentOffsets
