.word 0,Offset
CavalierClassName,aClassNames.Cavalier - aClassNameOffsets
LanceKnightClassName,aClassNames.LanceKnight - aClassNameOffsets
ArcherKnightClassName,aClassNames.ArcherKnight - aClassNameOffsets
AxeKnightClassName,aClassNames.AxeKnight - aClassNameOffsets
FreeKnightClassName,aClassNames.FreeKnight - aClassNameOffsets
TroubadourClassName,aClassNames.Troubadour - aClassNameOffsets
KnightLordClassName,aClassNames.KnightLord - aClassNameOffsets
BanneretClassName,aClassNames.Banneret - aClassNameOffsets
MasterKnightClassName,aClassNames.MasterKnight - aClassNameOffsets
PaladinClassName,aClassNames.Paladin - aClassNameOffsets
PaladinFClassName,aClassNames.Paladin - aClassNameOffsets
BowKnightClassName,aClassNames.BowKnight - aClassNameOffsets
RangerClassName,aClassNames.Ranger - aClassNameOffsets
MageKnightClassName,aClassNames.MageKnight - aClassNameOffsets
GreatKnightClassName,aClassNames.GreatKnight - aClassNameOffsets
PegasusRiderClassName,aClassNames.PegasusRider - aClassNameOffsets
PegasusKnightClassName,aClassNames.PegasusKnight - aClassNameOffsets
FalconKnightClassName,aClassNames.FalconKnight - aClassNameOffsets
WyvernRiderClassName,aClassNames.WyvernRider - aClassNameOffsets
WyvernKnightClassName,aClassNames.WyvernKnight - aClassNameOffsets
WyvernLordClassName,aClassNames.WyvernLord - aClassNameOffsets
BowFighterClassName,aClassNames.BowFighter - aClassNameOffsets
SwordFighterClassName,aClassNames.SwordFighter - aClassNameOffsets
SwordmasterClassName,aClassNames.Swordmaster - aClassNameOffsets
SniperClassName,aClassNames.Sniper - aClassNameOffsets
ForesterClassName,aClassNames.Forester - aClassNameOffsets
GeneralClassName,aClassNames.General - aClassNameOffsets
EmperorClassName,aClassNames.Emperor - aClassNameOffsets
BaronClassName,aClassNames.Baron - aClassNameOffsets
SoldierClassName,aClassNames.Soldier - aClassNameOffsets
SpearSoldierClassName,aClassNames.SpearSoldier - aClassNameOffsets
AxeSolderClassName,aClassNames.AxeSolder - aClassNameOffsets
BowSoldierClassName,aClassNames.BowSoldier - aClassNameOffsets
SwordSoldierClassName,aClassNames.SwordSoldier - aClassNameOffsets
LanceArmorClassName,aClassNames.LanceArmor - aClassNameOffsets
AxeArmorClassName,aClassNames.AxeArmor - aClassNameOffsets
BowArmorClassName,aClassNames.BowArmor - aClassNameOffsets
SwordArmorClassName,aClassNames.SwordArmor - aClassNameOffsets
BarbarianClassName,aClassNames.Barbarian - aClassNameOffsets
AxeFighterClassName,aClassNames.AxeFighter - aClassNameOffsets
BrigandClassName,aClassNames.Brigand - aClassNameOffsets
WarriorClassName,aClassNames.Warrior - aClassNameOffsets
HunterClassName,aClassNames.Hunter - aClassNameOffsets
PirateClassName,aClassNames.Pirate - aClassNameOffsets
LordlingClassName,aClassNames.Lordling - aClassNameOffsets
MageFighterClassName,aClassNames.MageFighter - aClassNameOffsets
PrinceClassName,aClassNames.Prince - aClassNameOffsets
PrincessClassName,aClassNames.Princess - aClassNameOffsets
MageFighterFClassName,aClassNames.MageFighterF - aClassNameOffsets
QueenClassName,aClassNames.Queen - aClassNameOffsets
DancerClassName,aClassNames.Dancer - aClassNameOffsets
PriestClassName,aClassNames.Priest - aClassNameOffsets
MageClassName,aClassNames.Mage - aClassNameOffsets
FireMageClassName,aClassNames.FireMage - aClassNameOffsets
ThunderMageClassName,aClassNames.ThunderMage - aClassNameOffsets
WindMageClassName,aClassNames.WindMage - aClassNameOffsets
HighPriestClassName,aClassNames.HighPriest - aClassNameOffsets
BishopClassName,aClassNames.Bishop - aClassNameOffsets
SageClassName,aClassNames.Sage - aClassNameOffsets
BardClassName,aClassNames.Bard - aClassNameOffsets
ShamanClassName,aClassNames.Shaman - aClassNameOffsets
DarkMageClassName,aClassNames.DarkMage - aClassNameOffsets
DarkBishopClassName,aClassNames.DarkBishop - aClassNameOffsets
ThiefClassName,aClassNames.Thief - aClassNameOffsets
ThiefFighterClassName,aClassNames.ThiefFighter - aClassNameOffsets
CivilianClassName,aClassNames.Civilian - aClassNameOffsets
ChildClassName,aClassNames.Child - aClassNameOffsets
BallistaClassName,aClassNames.Ballista - aClassNameOffsets
IronBallistaClassName,aClassNames.IronBallista - aClassNameOffsets
KillerBallistaClassName,aClassNames.KillerBallista - aClassNameOffsets
GreatBallistaClassName,aClassNames.GreatBallista - aClassNameOffsets
DarkPrinceClassName,aClassNames.DarkPrince - aClassNameOffsets
