.long 0,Pointer
MageFemale,g4bppcMageFemaleMapMovementSprite
Mage,g4bppcMageMapMovementSprite
PriestFemale,g4bppcPriestFemaleMapMovementSprite
Lordling,g4bppcLordlingMapMovementSprite
SwordFighter,g4bppcSwordFighterMapMovementSprite
LanceArmor,g4bppcLanceArmorMapMovementSprite
Barbarian,g4bppcBarbarianMapMovementSprite
BowFighter,g4bppcBowFighterMapMovementSprite
Soldier,g4bppcSoldierMapMovementSprite
BowFighterFemale,g4bppcBowFighterFemaleMapMovementSprite
AxeArmor,g4bppcAxeArmorMapMovementSprite
BowSoldier,g4bppcBowSoldierMapMovementSprite
Dancer,g4bppcDancerMapMovementSprite
SwordFighterFemale,g4bppcSwordFighterFemaleMapMovementSprite
Princess,g4bppcPrincessMapMovementSprite
Thief,g4bppcThiefMapMovementSprite
General,g4bppcGeneralMapMovementSprite
Shaman,g4bppcShamanMapMovementSprite
AxeFighter,g4bppcAxeFighterMapMovementSprite
WindMage,g4bppcWindMageMapMovementSprite
WindMageFemale,g4bppcWindMageFemaleMapMovementSprite
Priest,g4bppcPriestMapMovementSprite
Hunter,g4bppcHunterMapMovementSprite
Swordmaster,g4bppcSwordmasterMapMovementSprite
Forester,g4bppcForesterMapMovementSprite
Warrior,g4bppcWarriorMapMovementSprite
Brigang,g4bppcBrigandMapMovementSprite
Pirate,g4bppcPirateMapMovementSprite
ForesterFemale,g4bppcForesterFemaleMapMovementSprite
Baron,g4bppcBaronMapMovementSprite
HighPriestFemale,g4bppcHighPriestFemaleMapMovementSprite
SwordmasterFemale,g4bppcSwordmasterFemaleMapMovementSprite
SniperFemale,g4bppcSniperFemaleMapMovementSprite
Sniper,g4bppcSniperMapMovementSprite
Emperor,g4bppcEmperorMapMovementSprite
SwordSoldier,g4bppcSwordSoldierMapMovementSprite
AxeSoldier,g4bppcAxeSoldierMapMovementSprite
SpearSoldier,g4bppcSpearSoldierMapMovementSprite
SwordArmor,g4bppcSwordArmorMapMovementSprite
BowArmor,g4bppcBowArmorMapMovementSprite
FireMageFemale,g4bppcFireMageFemaleMapMovementSprite
FireMage,g4bppcFireMageMapMovementSprite
ThunderMageFemale,g4bppcThunderMageFemaleMapMovementSprite
ThunderMage,g4bppcThunderMageMapMovementSprite
HighPriest,g4bppcHighPriestMapMovementSprite
MageFighterFemale,g4bppcMageFighterFemaleMapMovementSprite
DarkBishop,g4bppcDarkBishopMapMovementSprite
DarkMage,g4bppcDarkMageMapMovementSprite
Prince,g4bppcPrinceMapMovementSprite
MageFighter,g4bppcMageFighterMapMovementSprite
ChildFemale,g4bppcChildFemaleMapMovementSprite
Child,g4bppcChildMapMovementSprite
Queen,g4bppcQueenMapMovementSprite
Bishop,g4bppcBishopMapMovementSprite
Civilian,g4bppcCivilianMapMovementSprite
CivilianFemale,g4bppcCivilianFemaleMapMovementSprite
ThiefFighterFemale,g4bppcThiefFighterFemaleMapMovementSprite
Bard,g4bppcBardMapMovementSprite
ThiefFemale,g4bppcThiefFemaleMapMovementSprite
ThiefFighter,g4bppcThiefFighterMapMovementSprite
Sage,g4bppcSageMapMovementSprite
SageFemale,g4bppcSageFemaleMapMovementSprite
DarkPrince,g4bppcDarkPrinceMapMovementSprite
SmallOifey,g4bppcSmallOifeyMapMovementSprite
ShortEmpty,g4bppcShortEmptyMapMovementSprite
